model,capas,nodos,learning rate,epochs,alpha,accuracy
1,4,"[15, 10, 5, 3]",0.01,200,1e-05,0.8097886540600667
2,4,"[15, 10, 5, 3]",0.01,200,0.01,0.8025583982202447
3,4,"[15, 10, 5, 3]",0.01,300,1e-05,0.8097886540600667
4,4,"[15, 10, 5, 3]",0.01,300,0.01,0.8025583982202447
5,4,"[15, 10, 5, 3]",0.01,400,1e-05,0.8097886540600667
6,4,"[15, 10, 5, 3]",0.01,400,0.01,0.8025583982202447
7,4,"[15, 10, 5, 3]",0.001,200,1e-05,0.8303670745272526
8,4,"[15, 10, 5, 3]",0.001,200,0.01,0.8515016685205784
9,4,"[15, 10, 5, 3]",0.001,300,1e-05,0.82146829810901
10,4,"[15, 10, 5, 3]",0.001,300,0.01,0.8381535038932146
11,4,"[15, 10, 5, 3]",0.001,400,1e-05,0.8186874304783093
12,4,"[15, 10, 5, 3]",0.001,400,0.01,0.8403781979977754
13,4,"[15, 10, 5, 3]",0.0001,200,1e-05,0.7602892102335929
14,4,"[15, 10, 5, 3]",0.0001,200,0.01,0.7997775305895439
15,4,"[15, 10, 5, 3]",0.0001,300,1e-05,0.7986651835372637
16,4,"[15, 10, 5, 3]",0.0001,300,0.01,0.8203559510567296
17,4,"[15, 10, 5, 3]",0.0001,400,1e-05,0.8153503893214683
18,4,"[15, 10, 5, 3]",0.0001,400,0.01,0.8259176863181312
19,3,"[15, 30, 3]",0.01,200,1e-05,0.803670745272525
20,3,"[15, 30, 3]",0.01,200,0.01,0.8064516129032258
21,3,"[15, 30, 3]",0.01,300,1e-05,0.803670745272525
22,3,"[15, 30, 3]",0.01,300,0.01,0.8064516129032258
23,3,"[15, 30, 3]",0.01,400,1e-05,0.803670745272525
24,3,"[15, 30, 3]",0.01,400,0.01,0.8064516129032258
25,3,"[15, 30, 3]",0.001,200,1e-05,0.807007786429366
26,3,"[15, 30, 3]",0.001,200,0.01,0.7886540600667408
27,3,"[15, 30, 3]",0.001,300,1e-05,0.807007786429366
28,3,"[15, 30, 3]",0.001,300,0.01,0.7886540600667408
29,3,"[15, 30, 3]",0.001,400,1e-05,0.807007786429366
30,3,"[15, 30, 3]",0.001,400,0.01,0.7886540600667408
31,3,"[15, 30, 3]",0.0001,200,1e-05,0.6835372636262514
